Year,Crime Type ID,Crime Type,State ID,State,Value
2015,204,Otros Delitos contra la Familia,15,Estado de México,86
2015,204,Otros Delitos contra la Familia,16,Michoacán de Ocampo,194
2015,204,Otros Delitos contra la Familia,17,Morelos,556
2015,204,Otros Delitos contra la Familia,18,Nayarit,16
2015,204,Otros Delitos contra la Familia,19,Nuevo León,6690
2015,204,Otros Delitos contra la Familia,20,Oaxaca,40
2015,204,Otros Delitos contra la Familia,21,Puebla,28
2015,204,Otros Delitos contra la Familia,22,Querétaro,132
2015,204,Otros Delitos contra la Familia,23,Quintana Roo,62
2015,204,Otros Delitos contra la Familia,24,San Luis Potosí,46
2015,204,Otros Delitos contra la Familia,25,Sinaloa,104
2015,204,Otros Delitos contra la Familia,26,Sonora,32
2015,204,Otros Delitos contra la Familia,27,Tabasco,16
2015,204,Otros Delitos contra la Familia,28,Tamaulipas,832
2015,204,Otros Delitos contra la Familia,29,Tlaxcala,44
2015,204,Otros Delitos contra la Familia,30,Veracruz de Ignacio de la Llave,1210
2015,204,Otros Delitos contra la Familia,31,Yucatán,850
2015,204,Otros Delitos contra la Familia,32,Zacatecas,138
2015,301,Abuso Sexual,1,Aguascalientes,36
2015,301,Abuso Sexual,2,Baja California,2494
2015,301,Abuso Sexual,3,Baja California Sur,186
2015,301,Abuso Sexual,4,Campeche,18
2015,301,Abuso Sexual,5,Coahuila de Zaragoza,622
2015,301,Abuso Sexual,6,Colima,52
2015,301,Abuso Sexual,7,Chiapas,532
2015,301,Abuso Sexual,8,Chihuahua,2128
2015,301,Abuso Sexual,9,Ciudad de México,3240
2015,301,Abuso Sexual,10,Durango,364
2015,301,Abuso Sexual,11,Guanajuato,1936
2015,301,Abuso Sexual,12,Guerrero,502
2015,301,Abuso Sexual,13,Hidalgo,316
2015,301,Abuso Sexual,14,Jalisco,3072
2015,301,Abuso Sexual,15,Estado de México,1064
2015,301,Abuso Sexual,16,Michoacán de Ocampo,546
2015,301,Abuso Sexual,17,Morelos,704
2015,301,Abuso Sexual,18,Nayarit,0
2015,301,Abuso Sexual,19,Nuevo León,1802
2015,301,Abuso Sexual,20,Oaxaca,164
2015,301,Abuso Sexual,21,Puebla,0
2015,301,Abuso Sexual,22,Querétaro,498
2015,301,Abuso Sexual,23,Quintana Roo,874
2015,301,Abuso Sexual,24,San Luis Potosí,574
2015,301,Abuso Sexual,25,Sinaloa,452
2015,301,Abuso Sexual,26,Sonora,502
2015,301,Abuso Sexual,27,Tabasco,166
2015,301,Abuso Sexual,28,Tamaulipas,0
2015,301,Abuso Sexual,29,Tlaxcala,58
2015,301,Abuso Sexual,30,Veracruz de Ignacio de la Llave,92
2015,301,Abuso Sexual,31,Yucatán,840
2015,301,Abuso Sexual,32,Zacatecas,0
2015,302,Acoso Sexual,1,Aguascalientes,0
2015,302,Acoso Sexual,2,Baja California,0
2015,302,Acoso Sexual,3,Baja California Sur,28
2015,302,Acoso Sexual,4,Campeche,0
2015,302,Acoso Sexual,5,Coahuila de Zaragoza,136
2015,302,Acoso Sexual,6,Colima,0
2015,302,Acoso Sexual,7,Chiapas,0
2015,302,Acoso Sexual,8,Chihuahua,0
2015,302,Acoso Sexual,9,Ciudad de México,66
2015,302,Acoso Sexual,10,Durango,6
2015,302,Acoso Sexual,11,Guanajuato,424
2015,302,Acoso Sexual,12,Guerrero,16
2015,302,Acoso Sexual,13,Hidalgo,236
2015,302,Acoso Sexual,14,Jalisco,252
2015,302,Acoso Sexual,15,Estado de México,332
2015,302,Acoso Sexual,16,Michoacán de Ocampo,0
2015,302,Acoso Sexual,17,Morelos,4
2015,302,Acoso Sexual,18,Nayarit,14
2015,302,Acoso Sexual,19,Nuevo León,0
2015,302,Acoso Sexual,20,Oaxaca,10
2015,302,Acoso Sexual,21,Puebla,232
2015,302,Acoso Sexual,22,Querétaro,46
2015,302,Acoso Sexual,23,Quintana Roo,104
2015,302,Acoso Sexual,24,San Luis Potosí,88
2015,302,Acoso Sexual,25,Sinaloa,10
2015,302,Acoso Sexual,26,Sonora,0
2015,302,Acoso Sexual,27,Tabasco,0
2015,302,Acoso Sexual,28,Tamaulipas,90
2015,302,Acoso Sexual,29,Tlaxcala,0
2015,302,Acoso Sexual,30,Veracruz de Ignacio de la Llave,116
2015,302,Acoso Sexual,31,Yucatán,0
2015,302,Acoso Sexual,32,Zacatecas,0
2015,303,Hostigamiento Sexual,1,Aguascalientes,22
2015,303,Hostigamiento Sexual,2,Baja California,230
2015,303,Hostigamiento Sexual,3,Baja California Sur,10
2015,303,Hostigamiento Sexual,4,Campeche,0
2015,303,Hostigamiento Sexual,5,Coahuila de Zaragoza,0
2015,303,Hostigamiento Sexual,6,Colima,0
2015,303,Hostigamiento Sexual,7,Chiapas,42
2015,303,Hostigamiento Sexual,8,Chihuahua,314
2015,303,Hostigamiento Sexual,9,Ciudad de México,0
2015,303,Hostigamiento Sexual,10,Durango,30
2015,303,Hostigamiento Sexual,11,Guanajuato,68
2015,303,Hostigamiento Sexual,12,Guerrero,26
2015,303,Hostigamiento Sexual,13,Hidalgo,12
2015,303,Hostigamiento Sexual,14,Jalisco,46
2015,303,Hostigamiento Sexual,15,Estado de México,118
2015,303,Hostigamiento Sexual,16,Michoacán de Ocampo,74
2015,303,Hostigamiento Sexual,17,Morelos,172
2015,303,Hostigamiento Sexual,18,Nayarit,0
2015,303,Hostigamiento Sexual,19,Nuevo León,50
2015,303,Hostigamiento Sexual,20,Oaxaca,12
2015,303,Hostigamiento Sexual,21,Puebla,70
2015,303,Hostigamiento Sexual,22,Querétaro,0
2015,303,Hostigamiento Sexual,23,Quintana Roo,10
2015,303,Hostigamiento Sexual,24,San Luis Potosí,18
2015,303,Hostigamiento Sexual,25,Sinaloa,0
2015,303,Hostigamiento Sexual,26,Sonora,12
2015,303,Hostigamiento Sexual,27,Tabasco,160
2015,303,Hostigamiento Sexual,28,Tamaulipas,16
2015,303,Hostigamiento Sexual,29,Tlaxcala,2
2015,303,Hostigamiento Sexual,30,Veracruz de Ignacio de la Llave,0
2015,303,Hostigamiento Sexual,31,Yucatán,36
2015,303,Hostigamiento Sexual,32,Zacatecas,16
2015,304,Incesto,1,Aguascalientes,4
2015,304,Incesto,2,Baja California,4
2015,304,Incesto,3,Baja California Sur,0
2015,304,Incesto,4,Campeche,0
2015,304,Incesto,5,Coahuila de Zaragoza,2
2015,304,Incesto,6,Colima,0
2015,304,Incesto,7,Chiapas,0
2015,304,Incesto,8,Chihuahua,2
2015,304,Incesto,9,Ciudad de México,0
2015,304,Incesto,10,Durango,0
2015,304,Incesto,11,Guanajuato,6
2015,304,Incesto,12,Guerrero,0
2015,304,Incesto,13,Hidalgo,2
2015,304,Incesto,14,Jalisco,2
2015,304,Incesto,15,Estado de México,0
2015,304,Incesto,16,Michoacán de Ocampo,0
2015,304,Incesto,17,Morelos,0
